proxy,spectrum,driver_band,peak_period_kyr,peak_value
ch4,auto_cold_duration,pre,28.444444444444443,4449.279230377982
ch4,auto_cold_duration,obl,42.666666666666664,13968.442349658502
ch4,auto_cold_duration,ecc,128.0,26774.3028844804
monsoon,auto_cold_duration,pre,25.6,5970.703826793491
monsoon,auto_cold_duration,obl,42.666666666666664,23787.954101296204
monsoon,auto_cold_duration,ecc,128.0,72223.92619363687
ch4,cross_with_pre,pre,23.272727272727277,15289.878106902215
ch4,cross_with_obl,obl,42.666666666666664,25168.085183162195
ch4,cross_with_ecc,ecc,85.33333333333333,17242.709368968535
monsoon,cross_with_pre,pre,23.272727272727277,9057.146911781556
monsoon,cross_with_obl,obl,42.666666666666664,10358.348109580716
monsoon,cross_with_ecc,ecc,85.33333333333333,22668.22661853868
