ref_idx,ref_age_yrBP,det_idx,det_age_yrBP,signed_age_error_yr,abs_age_error_yr
0,12897,0,12800.0,-97.0,97.0
1,14692,1,14650.0,-42.0,42.0
2,22901,8,22800.0,-101.0,101.0
8,28601,13,28400.0,-201.0,201.0
9,28900,14,28650.0,-250.0,250.0
10,30601,16,30700.0,99.0,99.0
11,30840,17,30950.0,110.0,110.0
12,32041,18,32050.0,9.0,9.0
13,32500,19,32700.0,200.0,200.0
14,33361,20,33450.0,89.0,89.0
16,34741,22,34650.0,-91.0,91.0
17,35480,23,35550.0,70.0,70.0
18,36581,24,36650.0,69.0,69.0
19,38220,25,38350.0,130.0,130.0
20,39901,26,40000.0,99.0,99.0
23,41460,27,41700.0,240.0,240.0
24,42241,28,42450.0,209.0,209.0
30,49601,35,49650.0,49.0,49.0
34,55401,38,55300.0,-101.0,101.0
35,55800,39,55650.0,-150.0,150.0
36,56501,40,56500.0,-1.0,1.0
40,58561,41,58600.0,39.0,39.0
41,59080,42,58800.0,-280.0,280.0
44,63841,44,63600.0,-241.0,241.0
46,69401,47,69150.0,-251.0,251.0
48,70381,48,70150.0,-231.0,231.0
49,72340,49,72300.0,-40.0,40.0
52,77761,52,77550.0,-211.0,211.0
53,84760,58,84800.0,40.0,40.0
54,84961,59,84950.0,-11.0,11.0
57,90040,61,90050.0,10.0,10.0
58,90141,62,90400.0,259.0,259.0
61,104520,68,104600.0,80.0,80.0
65,108280,71,108500.0,220.0,220.0
67,115370,75,115450.0,80.0,80.0
